Transaction, Token Contract, Token Address
0xf990dd80eda15478a24b56ac7b99619622e615a347b8c004cf8a9e466045b186, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x7c797e4803cf7b1d62eb88f95922a5b7968f62767fe4b457dc0cae84b773b6e7, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xfa24c80678865697179d57d4bf2102570db57985cc200d3fb0663ed4e87eff71, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x8995e6434b1d3c5723c839a74e65a4f998cff68222c206d35d74706dd6516661, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x8995e6434b1d3c5723c839a74e65a4f998cff68222c206d35d74706dd6516661, 0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d, Celsius (CEL)
0xfd0fa6e984317131bf7658cb91d201f8b4d544a370c26f3acc092951db895211, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xcadd142719468def6c5f2a1199bd9b5899727ac141d0ffa37a25150211a314c6, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0xcadd142719468def6c5f2a1199bd9b5899727ac141d0ffa37a25150211a314c6, 0xeb4c2781e4eba804ce9a9803c67d0893436bb27d, renBTC (renBTC)
0x23b9726a8d15dc2db180998afa7ddc1f6f670e4930a69f6ef1fda69f8025314c, 0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9, Swipe (SXP)
0x977581d1a08d0f3f5e3fb31f53a0dcbd6288f2344ec3fe217e4a3a4b59305ff6, 0x0d8775f648430679a709e98d2b0cb6250d2887ef, BAT (BAT)
0x94cbe6e1fb4f9bf840ce617d18322bb9669debb20fae8c51d4f4b1d883e8b0ff, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xee9bbe43b1043cb4d6b48e7fdf3a547159c3e4ef66d2f4f0fbadc90242d77140, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xd70dd45b5722cd70ad98c2a39569af9ae19d15be9dd71bb5c0f171dfb905db9c, 0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d, Celsius (CEL)
0x8d4125eb86366d1188ef04c692c81fafc31ad6692d6d9c70191c2e152e028ef9, 0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d, Celsius (CEL)
0xc3968bbfe9d07c027e0154b473c77576cff76c78acf58073c5593c9252ef7432, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0xdaf55c4829a3cf54bf49178c77e7beb7887581a8d42fb8246fa36b857c4d50a8, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x5a665e15036d860b2c16f833213bbc0cf75db58e5e403639e1f5d429714804f7, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x19f637c833ea6e969c3b54e3f8459630cf2289f0b6eefabd1db7e17d8faf960e, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xca8c947b93640a2551c98db304bfd318ed4be9b6407476da277732c60e7690f6, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x4f279b9785b095d223b8180c26a1b2407575b00df9814e280153cf09927d52fe, 0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, Numeraire (NMR)
0xcd78634b297c37a6b692ed6c2c716d3870fcbb53927b22d6fcb42dcabd47cad0, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
